[00:00:00] 10個不同的主題
[00:04:32] 那我直接給你看一下
[00:04:33] 我每天都在用的東西
[00:04:35] 那這是一個排版很漂亮
[00:04:36] 很好讀的一個互動式網頁
[00:04:39] 那麼你可以在流打器裡邊就可以開啟
[00:04:42] 而且這個整個的印面都是互動式的
[00:04:44] 那他在上面會告訴我
[00:04:46] 比如說我今天有哪些事情
[00:04:48] 然後有沒有緊急的信要處理
[00:04:50] 那這邊是AR的一個最新動態
[00:04:52] 然後在這邊是YouTube和演演算法相關的一些新聞
[00:04:56] 然後在這邊是美股ETF和一些個股的一些訊息
[00:05:00] 那就是每天的新聞
[00:05:01] 他都幫你整理好了
[00:05:03] 這種每天自動跑
[00:05:04] 簡報的功能到底是怎麼做到的呢
[00:05:07] 其實就是用到了一個排成任務的這個功能
[00:05:10] 你只要設定好一個時間
[00:05:11] 那麼這個任務他就會每天自動執行
[00:05:14] 完全不需要你動手
[00:05:16] 那我重新設定一個吧
[00:05:18] 我先把這個給他刪掉
[00:05:19] 然後在Colork這裡跟他說
[00:05:21] 我要你幫我做一份成千的簡報
[00:05:24] 然後首先幫我連到我的Notion
[00:05:26] 然後看一看我今天有哪些帶班的事項
[00:05:29] 因為我自己平時就是用Notion
[00:05:31] 來管理每天要做的事情
[00:05:33] 然後完成一個我就打一個勾
[00:05:35] 然後沒完成的我就留到隔天繼續
[00:05:38] 然後點一下新的一天
[00:05:40] 然後每天需要做的事情他又出來了
[00:05:43] 那就很簡單的一個日常管理方式
[00:05:46] 那現在Colork可以直接讀取我的Notion了
[00:05:49] 所以他就能看到我每天都要做什麼
[00:05:52] 第二個呢
[00:05:52] 我讓他去看我的指描
[00:05:54] 把過去一天收到的信件裡邊比較重要的東西
[00:05:58] 都幫我給他挑出來
[00:06:00] 因為有時候信件真的太多了
[00:06:01] 你一分一分去看
[00:06:03] 太浪費時間了
[00:06:04] 那麼讓Colork的幫你篩選就可以了
[00:06:07] 但第三個就是幫我搜尋一下AIA
[00:06:10] YouTube還有美股市場這些領域的一個最新訊息
[00:06:13] 那最後把這些東西全都整合成一個好看的
[00:06:17] 網頁的簡報
[00:06:18] 那麼存到我的Colork資料夾裡邊
[00:06:20] 就這樣我們點選傳送一下
[00:06:23] 那我平時用的最妙Notion這些
[00:06:25] 我要怎麼連線到CloudColork這裡呢
[00:06:28] 那你就進到Cloud設定裡邊
[00:06:30] 然後點選聯結器
[00:06:32] 點進去
[00:06:32] 你就可以看到一整排的App全都列在這裡
[00:06:36] 你想連哪個就這些點
[00:06:38] 然後照著步驟一步一步來就連線好了
[00:06:40] 那接好之後呢
[00:06:41] 他就會在這裡顯示一連線
[00:06:43] 就代表你可以開始用了
[00:06:45] OK
[00:06:45] 那簡報現在也生成好了
[00:06:47] 我們來看一下
[00:06:48] 那這個跟我們之前生成的效果差不多
[00:06:51] 感覺效果還挺穩定的
[00:06:53] 如果你覺得眼色太暗了
[00:06:55] 或者是排版不喜歡之類的
[00:06:57] 那你就用Tierce跟他講一下就可以了
[00:06:59] 好
[00:06:59] 還剩一個環節
[00:07:00] 就是把它設成每天自動執行
[00:07:03] 那這個需要我自己去設定嗎
[00:07:05] 如果別的AI可能需要
[00:07:07] 那在Colork這裡呢
[00:07:08] 我第一反應就是
[00:07:09] 這種事情也讓他來幫我設定就好了
[00:07:12] 那我直接給他一段Tierce跟他說
[00:07:14] 幫我設定一個定時的任務
[00:07:16] 然後每天早上8點自動跑
[00:07:18] 內容就是剛才的成千簡報
[00:07:21] 然後做好之後
[00:07:22] 直接存到我的資料夾的成千簡報裡
[00:07:24] 那不知道什麼時候他可能會跳出來
[00:07:27] 需要讓我確認的東西
[00:07:28] 那你這邊點確定就可以
[00:07:30] 那好他現在完成了
[00:07:32] 那任務就在這邊
[00:07:33] 那退出來之後
[00:07:34] 你也可以看到
[00:07:35] 他列在每日任務這個清單裡面
[00:07:38] 那基本上就是一套自動化的一個系統了
[00:07:41] 然後他每天早上8點
[00:07:43] 他就自己工作
[00:07:44] 然後永遠重複這個流程
[00:07:46] 而且完全不需要另外花錢
[00:07:48] 去買什麼N8N之類的自動化工具
[00:07:51] 不過有一點需要注意
[00:07:52] 就是你的電腦跟Cloud App
[00:07:54] 要保持開著
[00:07:55] 如果你關機的話
[00:07:56] 他就沒辦法跑這個任務了
[00:07:58] 那麼CableAway的意思就是
[00:08:00] 你如果開啟的話
[00:08:01] 電腦就不會兇連
[00:08:02] 就一直開著
[00:08:04] 所以看你自己要不要給他開啟
[00:08:06] ok 接下來
[00:08:07] 我們看一看Skills
[00:08:08] 如何搭配Colork一起來用
[00:08:11] 那Skills是什麼呢
[00:08:12] 我們隨便來點一個
[00:08:14] 就點這個吧
[00:08:15] 其實你可以看到
[00:08:16] 每個AgentSkills
[00:08:18] 他都有這麼一個檔案
[00:08:20] 最上面是他的名字
[00:08:21] 就是你給這個Skills取的名字
[00:08:23] 然後下邊是Discription
[00:08:26] 就是你可以把它理解成一段自我介紹
[00:08:29] 就是告訴AI說
[00:08:30] 我這個Skills是拿來幹嘛的
[00:08:32] 那麼再往下這麼一大段
[00:08:34] 就是具體Skills的一個內容了
[00:08:36] 就是你寫給Cloud的一個詳細規則
[00:08:39] 告訴他遇到什麼情況
[00:08:40] 該做什麼
[00:08:41] 然後按什麼步驟來
[00:08:43] 然後輸出的格式
[00:08:44] 長什麼樣子
[00:08:45] 全都寫在裡邊的
[00:08:46] 那Cloud的裡邊
[00:08:48] 其實本來就有一些內建的Skills
[00:08:50] 你進到自定義設定裡邊開啟
[00:08:52] 就可以看到了
[00:08:54] 什麼Canvas
[00:08:55] 然後mcpbuilder這些什麼都有
[00:08:57] 那這些你直接點選開啟就可以用了
[00:09:00] 但是這些內建的Skills都比較通用
[00:09:03] 就是什麼人都可以用
[00:09:05] 這個還真不一定是你想要的
[00:09:07] 所以大部分人都是直接讓Cloud
[00:09:10] 從零開始幫你做一個全新的
[00:09:12] 就是專門為你量身打造的一個Skills
[00:09:15] 那我給你看我自己在用的Skills
[00:09:18] 你看我這個notion裡邊這個表格
[00:09:20] 那這些影片資料全部都是Cloud的幫我添寫的
[00:09:24] 包括你點進去看
[00:09:25] 他連搜圖都幫你結好了
[00:09:27] 如果你平時做搜圖名什麼靈感
[00:09:29] 那你就可以點進去看一看
[00:09:31] 這些爆款影片
[00:09:32] 縫面到底是怎麼做的
[00:09:34] 那我的做法就是這樣
[00:09:35] 就是先把整個流程先手動走一遍
[00:09:38] 確認效果沒有問題之後
[00:09:40] 再跟Cloud說
[00:09:41] 幫我把剛才這個過程變成一個Skills
[00:09:44] 我喜歡這樣做Skills
[00:09:46] 好
[00:09:46] 那我現在就開始做一下這個流程
[00:09:48] 跟他說我要兩個任務
[00:09:50] 那第一個呢
[00:09:51] 就是幫我找五個
[00:09:52] 適合AI新手觀眾的爆款選題
[00:09:55] 那主題就是和AI和AI變性相關的內容
[00:09:58] 那第二呢
[00:09:59] 就是挑一個分數最高的
[00:10:01] 就是根據這個選題
[00:10:02] 去找五部參考影片
[00:10:04] 那全部都填到我notion這個表格裡面
[00:10:07] 要有標題
[00:10:08] 然後博主的名字
[00:10:10] 然後播放量日期連結
[00:10:12] 然後還有一個異常值
[00:10:13] 那異常值意思就是這個影片的播放量
[00:10:16] 比這個博主其他影片高出來多少
[00:10:19] 因為高很多才叫爆款嘛
[00:10:22] 好送出去了
[00:10:23] 那我們就等著他做就好了
[00:10:25] 那Callwork我覺得有一點非常方便
[00:10:27] 就是你如果Tierce漏了什麼
[00:10:29] 你可以隨時打斷他
[00:10:31] 然後你進行一個補充
[00:10:32] 就像我剛才忘了叫他截圖
[00:10:35] 那麼我就在這邊跟他說
[00:10:37] 你身邊幫我把每一部
[00:10:38] 影片的縮列圖全都截下來
[00:10:40] 然後放到這個表格裡面
[00:10:42] 那他就停下來
[00:10:43] 然後看我說完之後
[00:10:45] 他就繼續工作了
[00:10:46] ok
[00:10:47] 那看起來他幫我找的第一部主題
[00:10:49] 應該是webcoding
[00:10:51] 那這個主題如果你覺得做不了
[00:10:53] 那沒有關係
[00:10:54] 你就看第二名排的是什麼
[00:10:56] 那你往下挑一個你能做的就行
[00:10:58] 好那他做完了
[00:11:00] 我們來看一下
[00:11:01] 你看這標題
[00:11:02] 然後博主的名字播放量日期
[00:11:05] 然後異常值連結
[00:11:07] 全部都給你添好了
[00:11:08] 如果你覺得整個過程你很滿意
[00:11:10] 那最後一步就要跟他說
[00:11:12] 把這個過程打包成一個skills
[00:11:14] 就這樣以後
[00:11:16] 你只要在cloud裡邊輸入一句
[00:11:18] 幫我找一個選題
[00:11:19] 那他就自己從頭到尾全部都跑完
[00:11:22] 表格全部幫你添號
[00:11:24] 好那你現在有選題了嘛
[00:11:25] 但是你可能遇到一個問題
[00:11:27] 就是這個主題你不夠熟
[00:11:29] 只是儲備量不夠怎麼辦
[00:11:31] 那你有兩個方法
[00:11:32] 第一個方法就是去看
[00:11:34] 剛才那些參考影片
[00:11:36] 就學一家人家是怎麼講這個主題的
[00:11:38] 那第二呢
[00:11:39] 就是直接用cloud幫你找這個主題
[00:11:41] 相關的知識和資料
[00:11:43] 然後幫你補足背景知識
[00:11:45] 那這兩招搭配起來用
[00:11:47] 基本上你要做一支影片的前期準備
[00:11:49] 速度會快非常多
[00:11:51] 那這個主題的相關知識呢
[00:11:53] 之前可能很多人用publicity去找
[00:11:55] 用cloud cover能不能行呢
[00:11:58] 當然也可以
[00:11:58] 那cloud有一個功能
[00:12:00] 我覺得是很多人不知道的功能
[00:12:02] 就是此代理功能
[00:12:03] 就是cloud可以同時分裂出好幾個
[00:12:05] mini版的字跡
[00:12:07] 每一個字呆裡有點像分身
[00:12:09] 各自處理不同的任務
[00:12:11] 而且是同時執行的
[00:12:12] 不是排隊一個一個來的
[00:12:14] 那比如說這個例子
[00:12:16] 我準備了10個研究主題
[00:12:18] 什麼AI工具呀
[00:12:19] youtube博主趨勢
[00:12:20] 然後AI變現cloud更新
[00:12:23] channel gbt動態
[00:12:24] 還有幾個其他的一共10個
[00:12:26] 那然後呢
[00:12:27] 我就在notion裡邊建好了一個表格
[00:12:29] 然後給他加了日期優先順序
[00:12:32] 然後主題分類這些籃位
[00:12:34] 因為我時間有限嘛
[00:12:35] 我想先看優先順序高的
[00:12:37] 那我就弄了一個高中低
[00:12:39] 三重的一個優先順序
[00:12:40] 讓他幫我判斷哪些資訊
[00:12:42] 值得先去了解
[00:12:43] 好
[00:12:44] 那表格建好了
[00:12:45] 提日詞也寫好了
[00:12:47] 那我就點選發作
[00:12:48] 那你看右邊哈
[00:12:49] 那cloud直接把這個10個任務給他拆開了
[00:12:53] 然後每一個分審去搜尋不同的主題
[00:12:56] 這個在研究AI工具
[00:12:57] 然後這個在研究youtube趨勢
[00:12:59] 然後這個在抓cloud的最新資訊
[00:13:02] 全部都在同時動
[00:13:03] 就好像你同時派了10個人
[00:13:05] 出去幫你辦事一樣
[00:13:07] 然後我們現在轉過去看notion
[00:13:09] 你看他是一瞬間全部完成的
[00:13:12] 那10個主題花了多少時間呢
[00:13:14] 不到兩分鐘
[00:13:15] 那你看這個表格日期全部填好了
[00:13:18] 優先順序填好了
[00:13:19] 然後主題分類也填好了
[00:13:21] 那這要是讓我自己一個一個去寫
[00:13:23] 我肯定做不到他這種程度
[00:13:25] 而且最重要的是裡邊的內容
[00:13:27] 我們點進去看一下
[00:13:29] 內容比我想象的豐富不少
[00:13:31] 而且下面的資料來源
[00:13:33] 然後每一個都是連結
[00:13:35] 你點進去就可以看到原始的資訊
[00:13:37] 是從哪裡來的
[00:13:38] 那這樣你就可以判斷這個資訊
[00:13:40] 到底可靠還是不可靠
[00:13:42] 那這個就是紫代理功能
[00:13:43] 你以後如果要分析幾十個競品
[00:13:46] 然後研究幾百個關鍵詞
[00:13:48] 從幾十個來源抓資料的話
[00:13:50] 用這個方法就可以
[00:13:52] ok
[00:13:52] 那接下來我要快速看一個
[00:13:54] cloud剛推出的新功能
[00:13:56] 這個功能不管你是用免費版
[00:13:58] 還是付費版都是可以用的
[00:14:00] 就是視覺化功能
[00:14:01] 那cloud現在可以直接幫你
[00:14:03] 做出一個互動式的圖表
[00:14:04] 示意圖還有流程圖
[00:14:06] 這些視覺化的東西
[00:14:07] 比如說我想問七二法則是什麼
[00:14:10] 那它其實就是你輸入一個年毀包率
[00:14:13] 然後它告訴你
[00:14:14] 自殺翻幾倍要幾年
[00:14:16] 那如果我第一次聽到這個概念的話
[00:14:18] 它只用文字跟我解釋
[00:14:20] 我大概聽完也沒什麼感覺
[00:14:22] 但你看它做出來的這個視覺化的東西
[00:14:24] 那這邊有兩個槓桿
[00:14:26] 可以直接拖
[00:14:27] 你一拖的話
[00:14:28] 上面的數字還有圖都會實施跟著變化
[00:14:32] 那你馬上就可以感受到
[00:14:33] 啊毀包率差百分之多少
[00:14:35] 哦原來翻倍的時間
[00:14:37] 居然能插出來這麼多
[00:14:39] 那這種東西
[00:14:40] 光看文字真的感受不到
[00:14:41] 那如果你想讓它做的更好看一點
[00:14:44] 那你就可以加視覺化呀
[00:14:46] 或者畫出來這些關鍵詞
[00:14:48] 那cloud就知道你要的不是一堆文字
[00:14:50] 而是一個視覺化的一個圖表了
[00:14:53] 那我再示範一個
[00:14:54] 比如說我跟cloud說
[00:14:56] 比較全球十大市群媒體平臺
[00:14:58] 月火使用者數
[00:15:00] 然後用視覺化呈現
[00:15:01] 那你看他現在在網上開始搜尋資料的
[00:15:04] 然後就開始幫我建圖表
[00:15:06] 那結果也出來的
[00:15:07] 最上邊一次就是facebook
[00:15:09] 然後whatsapp
[00:15:10] 然後youtube
[00:15:11] instagram
[00:15:12] tiktok
[00:15:13] 這一路排下來
[00:15:14] 你點進每一個柱子
[00:15:15] 每一個平臺的數字都會跳出來
[00:15:18] 完全是互動式的
[00:15:19] 然後右下角呢
[00:15:20] 還有資料來源的一個連結
[00:15:22] 就是可以幫你判斷
[00:15:23] 這個資訊到底是可靠還是不可靠
[00:15:26] 然後呢
[00:15:26] 他除了做圖表之外
[00:15:28] 還可以做流程圖
[00:15:29] 比如說我發一段提示
[00:15:31] 用視覺化的方式
[00:15:32] 畫出來一杯咖啡
[00:15:34] 從種子到你手裡一個完整的過程
[00:15:37] 那就算你今天不懂咖啡的一個供應鏈
[00:15:40] 那這張圖
[00:15:40] 你看你就全都懂了
[00:15:42] 那從咖啡種子到處理後背
[00:15:45] 然後進口運輸
[00:15:46] 然後一路到咖啡室充足
[00:15:48] 然後到你手上整個流程一目瞭然
[00:15:51] 所以不管你今天是要理解什麼複雜的東西
[00:15:53] 你只要進到Cloud
[00:15:54] 讓他幫你把這個抽象的概念
[00:15:57] 變成一張你可以看得懂的圖
[00:15:59] 你就不再有什麼理解不了的問題了
[00:16:01] 好
[00:16:02] 這就是Cloud Core
[00:16:03] 可以幫你做到事情
[00:16:04] 那你剛才是親眼看著一整套AI工作系統
[00:16:07] 從零開始被建立起來的
[00:16:10] 那背景設定
[00:16:10] 然後每天發簡報
[00:16:12] 然後同時總結十個主題
[00:16:14] 視覺化圖表這些內容
[00:16:15] 以前你想要做到這些事情
[00:16:17] 你不知道要找多少個人來一起做
[00:16:20] 但現在呢
[00:16:21] 你一個人加上一個Cloud Core就夠了
[00:16:24] 那現在我自己用AI
[00:16:25] 也是做一步看一步
[00:16:27] 那很多時候我也不確定
[00:16:28] 最後跑出來的成品長什麼樣子
[00:16:31] 甚至你用同樣的指定
[00:16:32] 跑三次
[00:16:33] 他可能給你三種不一樣的結果
[00:16:35] 但你只要動手做一次看到結果的
[00:16:38] 你自然就知道這個模型的上線和下線在哪裡了
[00:16:41] 那接下來你也知道
[00:16:43] 你該怎麼最佳化
[00:16:44] 怎麼調整
[00:16:44] 所以如果你現在還沒有試過Cloud Core
[00:16:47] 你先去下載一下
[00:16:49] 動手做一次
[00:16:50] 如果你也想試
[00:16:51] 今天這些例子的話
[00:16:52] 所有的提示詞和盟吧
[00:16:54] 我都整理好
[00:16:55] 放到下邊的描述達了
[00:16:56] 另外描述達
[00:16:57] 還有一本我前一陣子剛寫完的書
[00:17:00] 是AI個人品牌變現藍圖
[00:17:02] 那這本書呢
[00:17:03] 我把普通人用AI打造個人品牌
[00:17:06] 建立長期線接流的一個完整路徑
[00:17:08] 拆場的六個章節
[00:17:10] 非常具體的跟你分析
[00:17:11] 你可以怎麼找到你的賽道
[00:17:13] 然後驗證他的需求
[00:17:15] 一路做到自動化銷售系統全部炮通
[00:17:18] 那這本書呢
[00:17:18] 現在現實免費放到下面第一條連結領取
[00:17:22] 他特別適合那些正在用AI
[00:17:24] 想在網上賺錢
[00:17:26] 但是一直卡在起點的人
[00:17:27] 不知道AI和賺錢怎麼結合的人
[00:17:30] 然後每天都在學工具
[00:17:32] 卻從來沒有動手
[00:17:33] 一個人死撐卻看不到出路的人
[00:17:35] 那隻要你跟著這本書的步驟一步一步走
[00:17:39] 那你做這件事情成功案率
[00:17:40] 就會高出來很多
[00:17:42] 那裡邊還有我實際在用的六大AI工具的使用方法
[00:17:45] 包括今天在說的
[00:17:47] Cloud怎麼融入你的工作流
[00:17:49] 我都有寫進去
[00:17:50] 我相信你看完之後呢
[00:17:52] 在AI變現這塊
[00:17:53] 一定會比身邊大多數人有一個更高的一個起點
[00:17:56] 好
[00:17:57] 那今天的內容就到這裡了
[00:17:58] 之後還會持續的跟大家分享
[00:18:00] AI工具
[00:18:01] 個人品牌經營
[00:18:02] 還有社群媒體變現的內容
[00:18:04] 那麼感興趣的話
[00:18:05] 記得訂閱這個頻道
[00:18:06] 然後點開旁邊的小鈴鐺
[00:18:08] 我們下期再見
