[00:00:00] 10个不同的主题
[00:04:02] 然后你就把你的资料夹名称
[00:04:05] 贴上去就OK了
[00:04:06] 那这样设定完之后
[00:04:08] 一旦你问到相关的问题
[00:04:09] 他就会自动去读取你的背景
[00:04:11] 然后给你一个量身打造的一个回复
[00:04:14] 但如果你只是问一问
[00:04:15] 今天天气好不好
[00:04:17] 或者让他帮你处理一个email邮件
[00:04:19] 那他就不会碰那个资料夹的
[00:04:21] 那你的掏管也就撑的更久了
[00:04:24] 好到这边背景设定都搞定了
[00:04:26] 那么接下来就是让cork
[00:04:28] 真的帮你跑东西了
[00:04:30] 而且是每天都跑的那种
[00:04:32] 那我直接给你看一下
[00:04:33] 我每天都在用的东西
[00:04:35] 那这是一个排版很漂亮
[00:04:36] 很好读的一个互动式网页
[00:04:39] 那么你可以在流打器里边就可以打开
[00:04:42] 而且这个整个的印面都是互动式的
[00:04:44] 那他在上面会告诉我
[00:04:46] 比如说我今天有哪些事情
[00:04:48] 然后有没有紧急的信要处理
[00:04:50] 那这边是AR的一个最新动态
[00:04:52] 然后在这边是YouTube和演算法相关的一些新闻
[00:04:56] 然后在这边是美股ETF和一些个股的一些消息
[00:05:00] 那就是每天的新闻
[00:05:01] 他都帮你整理好了
[00:05:03] 这种每天自动跑
[00:05:04] 简报的功能到底是怎么做到的呢
[00:05:07] 其实就是用到了一个排成任务的这个功能
[00:05:10] 你只要设定好一个时间
[00:05:11] 那么这个任务他就会每天自动执行
[00:05:14] 完全不需要你动手
[00:05:16] 那我重新设定一个吧
[00:05:18] 我先把这个给他删掉
[00:05:19] 然后在Colork这里跟他说
[00:05:21] 我要你帮我做一份成千的简报
[00:05:24] 然后首先帮我连到我的Notion
[00:05:26] 然后看一看我今天有哪些带班的事项
[00:05:29] 因为我自己平时就是用Notion
[00:05:31] 来管理每天要做的事情
[00:05:33] 然后完成一个我就打一个勾
[00:05:35] 然后没完成的我就留到隔天继续
[00:05:38] 然后点一下新的一天
[00:05:40] 然后每天需要做的事情他又出来了
[00:05:43] 那就很简单的一个日常管理方式
[00:05:46] 那现在Colork可以直接读取我的Notion了
[00:05:49] 所以他就能看到我每天都要做什么
[00:05:52] 第二个呢
[00:05:52] 我让他去看我的指描
[00:05:54] 把过去一天收到的信件里边比较重要的东西
[00:05:58] 都帮我给他挑出来
[00:06:00] 因为有时候信件真的太多了
[00:06:01] 你一分一分去看
[00:06:03] 太浪费时间了
[00:06:04] 那么让Colork的帮你筛选就可以了
[00:06:07] 但第三个就是帮我搜索一下AIA
[00:06:10] YouTube还有美股市场这些领域的一个最新消息
[00:06:13] 那最后把这些东西全都整合成一个好看的
[00:06:17] 网页的简报
[00:06:18] 那么存到我的Colork资料夹里边
[00:06:20] 就这样我们点击发送一下
[00:06:23] 那我平时用的最妙Notion这些
[00:06:25] 我要怎么连接到CloudColork这里呢
[00:06:28] 那你就进到Cloud设定里边
[00:06:30] 然后点击连接器
[00:06:32] 点进去
[00:06:32] 你就可以看到一整排的App全都列在这里
[00:06:36] 你想连哪个就这些点
[00:06:38] 然后照着步骤一步一步来就连接好了
[00:06:40] 那接好之后呢
[00:06:41] 他就会在这里显示一连接
[00:06:43] 就代表你可以开始用了
[00:06:45] OK
[00:06:45] 那简报现在也生成好了
[00:06:47] 我们来看一下
[00:06:48] 那这个跟我们之前生成的效果差不多
[00:06:51] 感觉效果还挺稳定的
[00:06:53] 如果你觉得眼色太暗了
[00:06:55] 或者是排版不喜欢之类的
[00:06:57] 那你就用Tierce跟他讲一下就可以了
[00:06:59] 好
[00:06:59] 还剩一个环节
[00:07:00] 就是把它设成每天自动执行
[00:07:03] 那这个需要我自己去设定吗
[00:07:05] 如果别的AI可能需要
[00:07:07] 那在Colork这里呢
[00:07:08] 我第一反应就是
[00:07:09] 这种事情也让他来帮我设定就好了
[00:07:12] 那我直接给他一段Tierce跟他说
[00:07:14] 帮我设定一个定时的任务
[00:07:16] 然后每天早上8点自动跑
[00:07:18] 内容就是刚才的成千简报
[00:07:21] 然后做好之后
[00:07:22] 直接存到我的资料夹的成千简报里
[00:07:24] 那不知道什么时候他可能会跳出来
[00:07:27] 需要让我确认的东西
[00:07:28] 那你这边点确定就可以
[00:07:30] 那好他现在完成了
[00:07:32] 那任务就在这边
[00:07:33] 那退出来之后
[00:07:34] 你也可以看到
[00:07:35] 他列在每日任务这个清单里面
[00:07:38] 那基本上就是一套自动化的一个系统了
[00:07:41] 然后他每天早上8点
[00:07:43] 他就自己工作
[00:07:44] 然后永远重复这个流程
[00:07:46] 而且完全不需要另外花钱
[00:07:48] 去买什么N8N之类的自动化工具
[00:07:51] 不过有一点需要注意
[00:07:52] 就是你的电脑跟Cloud App
[00:07:54] 要保持开着
[00:07:55] 如果你关机的话
[00:07:56] 他就没办法跑这个任务了
[00:07:58] 那么CableAway的意思就是
[00:08:00] 你如果开启的话
[00:08:01] 电脑就不会凶连
[00:08:02] 就一直开着
[00:08:04] 所以看你自己要不要给他打开
[00:08:06] ok 接下来
[00:08:07] 我们看一看Skills
[00:08:08] 如何搭配Colork一起来用
[00:08:11] 那Skills是什么呢
[00:08:12] 我们随便来点一个
[00:08:14] 就点这个吧
[00:08:15] 其实你可以看到
[00:08:16] 每个AgentSkills
[00:08:18] 他都有这么一个文件
[00:08:20] 最上面是他的名字
[00:08:21] 就是你给这个Skills取的名字
[00:08:23] 然后下边是Discription
[00:08:26] 就是你可以把它理解成一段自我介绍
[00:08:29] 就是告诉AI说
[00:08:30] 我这个Skills是拿来干嘛的
[00:08:32] 那么再往下这么一大段
[00:08:34] 就是具体Skills的一个内容了
[00:08:36] 就是你写给Cloud的一个详细规则
[00:08:39] 告诉他遇到什么情况
[00:08:40] 该做什么
[00:08:41] 然后按什么步骤来
[00:08:43] 然后输出的格式
[00:08:44] 长什么样子
[00:08:45] 全都写在里边的
[00:08:46] 那Cloud的里边
[00:08:48] 其实本来就有一些内建的Skills
[00:08:50] 你进到自定义设定里边打开
[00:08:52] 就可以看到了
[00:08:54] 什么Canvas
[00:08:55] 然后mcpbuilder这些什么都有
[00:08:57] 那这些你直接点击开启就可以用了
[00:09:00] 但是这些内建的Skills都比较通用
[00:09:03] 就是什么人都可以用
[00:09:05] 这个还真不一定是你想要的
[00:09:07] 所以大部分人都是直接让Cloud
[00:09:10] 从零开始帮你做一个全新的
[00:09:12] 就是专门为你量身打造的一个Skills
[00:09:15] 那我给你看我自己在用的Skills
[00:09:18] 你看我这个notion里边这个表格
[00:09:20] 那这些影片资料全部都是Cloud的帮我添写的
[00:09:24] 包括你点进去看
[00:09:25] 他连搜图都帮你结好了
[00:09:27] 如果你平时做搜图名什么灵感
[00:09:29] 那你就可以点进去看一看
[00:09:31] 这些爆款影片
[00:09:32] 缝面到底是怎么做的
[00:09:34] 那我的做法就是这样
[00:09:35] 就是先把整个流程先手动走一遍
[00:09:38] 确认效果没有问题之后
[00:09:40] 再跟Cloud说
[00:09:41] 帮我把刚才这个过程变成一个Skills
[00:09:44] 我喜欢这样做Skills
[00:09:46] 好
[00:09:46] 那我现在就开始做一下这个流程
[00:09:48] 跟他说我要两个任务
[00:09:50] 那第一个呢
[00:09:51] 就是帮我找五个
[00:09:52] 适合AI新手观众的爆款选题
[00:09:55] 那主题就是和AI和AI变性相关的内容
[00:09:58] 那第二呢
[00:09:59] 就是挑一个分数最高的
[00:10:01] 就是根据这个选题
[00:10:02] 去找五部参考影片
[00:10:04] 那全部都填到我notion这个表格里面
[00:10:07] 要有标题
[00:10:08] 然后博主的名字
[00:10:10] 然后播放量日期链接
[00:10:12] 然后还有一个异常值
[00:10:13] 那异常值意思就是这个影片的播放量
[00:10:16] 比这个博主其他影片高出来多少
[00:10:19] 因为高很多才叫爆款嘛
[00:10:22] 好送出去了
[00:10:23] 那我们就等着他做就好了
[00:10:25] 那Callwork我觉得有一点非常方便
[00:10:27] 就是你如果Tierce漏了什么
[00:10:29] 你可以随时打断他
[00:10:31] 然后你进行一个补充
[00:10:32] 就像我刚才忘了叫他截图
[00:10:35] 那么我就在这边跟他说
[00:10:37] 你身边帮我把每一部
[00:10:38] 影片的缩列图全都截下来
[00:10:40] 然后放到这个表格里面
[00:10:42] 那他就停下来
[00:10:43] 然后看我说完之后
[00:10:45] 他就继续工作了
[00:10:46] ok
[00:10:47] 那看起来他帮我找的第一部主题
[00:10:49] 应该是webcoding
[00:10:51] 那这个主题如果你觉得做不了
[00:10:53] 那没有关系
[00:10:54] 你就看第二名排的是什么
[00:10:56] 那你往下挑一个你能做的就行
[00:10:58] 好那他做完了
[00:11:00] 我们来看一下
[00:11:01] 你看这标题
[00:11:02] 然后博主的名字播放量日期
[00:11:05] 然后异常值链接
[00:11:07] 全部都给你添好了
[00:11:08] 如果你觉得整个过程你很满意
[00:11:10] 那最后一步就要跟他说
[00:11:12] 把这个过程打包成一个skills
[00:11:14] 就这样以后
[00:11:16] 你只要在cloud里边输入一句
[00:11:18] 帮我找一个选题
[00:11:19] 那他就自己从头到尾全部都跑完
[00:11:22] 表格全部帮你添号
[00:11:24] 好那你现在有选题了嘛
[00:11:25] 但是你可能遇到一个问题
[00:11:27] 就是这个主题你不够熟
[00:11:29] 只是储备量不够怎么办
[00:11:31] 那你有两个方法
[00:11:32] 第一个方法就是去看
[00:11:34] 刚才那些参考影片
[00:11:36] 就学一家人家是怎么讲这个主题的
[00:11:38] 那第二呢
[00:11:39] 就是直接用cloud帮你找这个主题
[00:11:41] 相关的知识和资料
[00:11:43] 然后帮你补足背景知识
[00:11:45] 那这两招搭配起来用
[00:11:47] 基本上你要做一支影片的前期准备
[00:11:49] 速度会快非常多
[00:11:51] 那这个主题的相关知识呢
[00:11:53] 之前可能很多人用publicity去找
[00:11:55] 用cloud cover能不能行呢
[00:11:58] 当然也可以
[00:11:58] 那cloud有一个功能
[00:12:00] 我觉得是很多人不知道的功能
[00:12:02] 就是此代理功能
[00:12:03] 就是cloud可以同时分裂出好几个
[00:12:05] mini版的字迹
[00:12:07] 每一个字呆里有点像分身
[00:12:09] 各自处理不同的任务
[00:12:11] 而且是同时执行的
[00:12:12] 不是排队一个一个来的
[00:12:14] 那比如说这个例子
[00:12:16] 我准备了10个研究主题
[00:12:18] 什么AI工具呀
[00:12:19] youtube博主趋势
[00:12:20] 然后AI变现cloud更新
[00:12:23] channel gbt动态
[00:12:24] 还有几个其他的一共10个
[00:12:26] 那然后呢
[00:12:27] 我就在notion里边建好了一个表格
[00:12:29] 然后给他加了日期优先级
[00:12:32] 然后主题分类这些篮位
[00:12:34] 因为我时间有限嘛
[00:12:35] 我想先看优先级高的
[00:12:37] 那我就弄了一个高中低
[00:12:39] 三重的一个优先级
[00:12:40] 让他帮我判断哪些信息
[00:12:42] 值得先去了解
[00:12:43] 好
[00:12:44] 那表格建好了
[00:12:45] 提日词也写好了
[00:12:47] 那我就点击发作
[00:12:48] 那你看右边哈
[00:12:49] 那cloud直接把这个10个任务给他拆开了
[00:12:53] 然后每一个分审去搜索不同的主题
[00:12:56] 这个在研究AI工具
[00:12:57] 然后这个在研究youtube趋势
[00:12:59] 然后这个在抓cloud的最新资讯
[00:13:02] 全部都在同时动
[00:13:03] 就好像你同时派了10个人
[00:13:05] 出去帮你办事一样
[00:13:07] 然后我们现在转过去看notion
[00:13:09] 你看他是一瞬间全部完成的
[00:13:12] 那10个主题花了多少时间呢
[00:13:14] 不到两分钟
[00:13:15] 那你看这个表格日期全部填好了
[00:13:18] 优先级填好了
[00:13:19] 然后主题分类也填好了
[00:13:21] 那这要是让我自己一个一个去写
[00:13:23] 我肯定做不到他这种程度
[00:13:25] 而且最重要的是里边的内容
[00:13:27] 我们点进去看一下
[00:13:29] 内容比我想象的丰富不少
[00:13:31] 而且下面的资料来源
[00:13:33] 然后每一个都是链接
[00:13:35] 你点进去就可以看到原始的资讯
[00:13:37] 是从哪里来的
[00:13:38] 那这样你就可以判断这个资讯
[00:13:40] 到底可靠还是不可靠
[00:13:42] 那这个就是紫代理功能
[00:13:43] 你以后如果要分析几十个竞品
[00:13:46] 然后研究几百个关键词
[00:13:48] 从几十个来源抓资料的话
[00:13:50] 用这个方法就可以
[00:13:52] ok
[00:13:52] 那接下来我要快速看一个
[00:13:54] cloud刚推出的新功能
[00:13:56] 这个功能不管你是用免费版
[00:13:58] 还是付费版都是可以用的
[00:14:00] 就是视觉化功能
[00:14:01] 那cloud现在可以直接帮你
[00:14:03] 做出一个互动式的图表
[00:14:04] 示意图还有流程图
[00:14:06] 这些视觉化的东西
[00:14:07] 比如说我想问七二法则是什么
[00:14:10] 那它其实就是你输入一个年毁包率
[00:14:13] 然后它告诉你
[00:14:14] 自杀翻几倍要几年
[00:14:16] 那如果我第一次听到这个概念的话
[00:14:18] 它只用文字跟我解释
[00:14:20] 我大概听完也没什么感觉
[00:14:22] 但你看它做出来的这个视觉化的东西
[00:14:24] 那这边有两个杠杆
[00:14:26] 可以直接拖
[00:14:27] 你一拖的话
[00:14:28] 上面的数字还有图都会实施跟着变化
[00:14:32] 那你马上就可以感受到
[00:14:33] 啊毁包率差百分之多少
[00:14:35] 哦原来翻倍的时间
[00:14:37] 居然能插出来这么多
[00:14:39] 那这种东西
[00:14:40] 光看文字真的感受不到
[00:14:41] 那如果你想让它做的更好看一点
[00:14:44] 那你就可以加视觉化呀
[00:14:46] 或者画出来这些关键词
[00:14:48] 那cloud就知道你要的不是一堆文字
[00:14:50] 而是一个视觉化的一个图表了
[00:14:53] 那我再示范一个
[00:14:54] 比如说我跟cloud说
[00:14:56] 比较全球十大市群媒体平台
[00:14:58] 月火用户数
[00:15:00] 然后用视觉化呈现
[00:15:01] 那你看他现在在网上开始搜索资料的
[00:15:04] 然后就开始帮我建图表
[00:15:06] 那结果也出来的
[00:15:07] 最上边一次就是facebook
[00:15:09] 然后whatsapp
[00:15:10] 然后youtube
[00:15:11] instagram
[00:15:12] tiktok
[00:15:13] 这一路排下来
[00:15:14] 你点进每一个柱子
[00:15:15] 每一个平台的数字都会跳出来
[00:15:18] 完全是互动式的
[00:15:19] 然后右下角呢
[00:15:20] 还有资料来源的一个链接
[00:15:22] 就是可以帮你判断
[00:15:23] 这个信息到底是可靠还是不可靠
[00:15:26] 然后呢
[00:15:26] 他除了做图表之外
[00:15:28] 还可以做流程图
[00:15:29] 比如说我发一段提示
[00:15:31] 用视觉化的方式
[00:15:32] 画出来一杯咖啡
[00:15:34] 从种子到你手里一个完整的过程
[00:15:37] 那就算你今天不懂咖啡的一个供应链
[00:15:40] 那这张图
[00:15:40] 你看你就全都懂了
[00:15:42] 那从咖啡种子到处理后背
[00:15:45] 然后进口运输
[00:15:46] 然后一路到咖啡室充足
[00:15:48] 然后到你手上整个流程一目了然
[00:15:51] 所以不管你今天是要理解什么复杂的东西
[00:15:53] 你只要进到Cloud
[00:15:54] 让他帮你把这个抽象的概念
[00:15:57] 变成一张你可以看得懂的图
[00:15:59] 你就不再有什么理解不了的问题了
[00:16:01] 好
[00:16:02] 这就是Cloud Core
[00:16:03] 可以帮你做到事情
[00:16:04] 那你刚才是亲眼看着一整套AI工作系统
[00:16:07] 从零开始被建立起来的
[00:16:10] 那背景设定
[00:16:10] 然后每天发简报
[00:16:12] 然后同时总结十个主题
[00:16:14] 视觉化图表这些内容
[00:16:15] 以前你想要做到这些事情
[00:16:17] 你不知道要找多少个人来一起做
[00:16:20] 但现在呢
[00:16:21] 你一个人加上一个Cloud Core就够了
[00:16:24] 那现在我自己用AI
[00:16:25] 也是做一步看一步
[00:16:27] 那很多时候我也不确定
[00:16:28] 最后跑出来的成品长什么样子
[00:16:31] 甚至你用同样的指定
[00:16:32] 跑三次
[00:16:33] 他可能给你三种不一样的结果
[00:16:35] 但你只要动手做一次看到结果的
[00:16:38] 你自然就知道这个模型的上线和下线在哪里了
[00:16:41] 那接下来你也知道
[00:16:43] 你该怎么优化
[00:16:44] 怎么调整
[00:16:44] 所以如果你现在还没有试过Cloud Core
[00:16:47] 你先去下载一下
[00:16:49] 动手做一次
[00:16:50] 如果你也想试
[00:16:51] 今天这些例子的话
[00:16:52] 所有的提示词和盟吧
[00:16:54] 我都整理好
[00:16:55] 放到下边的描述达了
[00:16:56] 另外描述达
[00:16:57] 还有一本我前一阵子刚写完的书
[00:17:00] 是AI个人品牌变现蓝图
[00:17:02] 那这本书呢
[00:17:03] 我把普通人用AI打造个人品牌
[00:17:06] 建立长期线接流的一个完整路径
[00:17:08] 拆场的六个章节
[00:17:10] 非常具体的跟你分析
[00:17:11] 你可以怎么找到你的赛道
[00:17:13] 然后验证他的需求
[00:17:15] 一路做到自动化销售系统全部炮通
[00:17:18] 那这本书呢
[00:17:18] 现在现实免费放到下面第一条链接领取
[00:17:22] 他特别适合那些正在用AI
[00:17:24] 想在网上赚钱
[00:17:26] 但是一直卡在起点的人
[00:17:27] 不知道AI和赚钱怎么结合的人
[00:17:30] 然后每天都在学工具
[00:17:32] 却从来没有动手
[00:17:33] 一个人死撑却看不到出路的人
[00:17:35] 那只要你跟着这本书的步骤一步一步走
[00:17:39] 那你做这件事情成功案率
[00:17:40] 就会高出来很多
[00:17:42] 那里边还有我实际在用的六大AI工具的使用方法
[00:17:45] 包括今天在说的
[00:17:47] Cloud怎么融入你的工作流
[00:17:49] 我都有写进去
[00:17:50] 我相信你看完之后呢
[00:17:52] 在AI变现这块
[00:17:53] 一定会比身边大多数人有一个更高的一个起点
[00:17:56] 好
[00:17:57] 那今天的内容就到这里了
[00:17:58] 之后还会持续的跟大家分享
[00:18:00] AI工具
[00:18:01] 个人品牌经营
[00:18:02] 还有社群媒体变现的内容
[00:18:04] 那么感兴趣的话
[00:18:05] 记得订阅这个频道
[00:18:06] 然后点开旁边的小铃铛
[00:18:08] 我们下期再见
